item_id,titulo,tematica
doc_0001,Practica resuelta: Punteros basicos,Introduccion a la Programacion
doc_0002,Diapositivas: Variables y tipos de datos,Introduccion a la Programacion
doc_0003,Video clase: Funciones y modularidad,Introduccion a la Programacion
doc_0004,Practica resuelta: Bucles for y while,Introduccion a la Programacion
doc_0005,Practica resuelta: Punteros basicos (parte 4),Introduccion a la Programacion
doc_0006,Apunte: Entrada y salida estandar,Introduccion a la Programacion
doc_0007,Practica resuelta: Variables y tipos de datos,Introduccion a la Programacion
doc_0008,Video clase: Funciones y modularidad (parte 4),Introduccion a la Programacion
doc_0009,Apunte: Cadenas de texto,Introduccion a la Programacion
doc_0010,Video clase: Pseudocodigo y diagramas de flujo,Introduccion a la Programacion
doc_0011,Taller: Buenas practicas de codigo,Introduccion a la Programacion
doc_0012,Examen resuelto: Funciones y modularidad,Introduccion a la Programacion
doc_0013,Diapositivas: Cadenas de texto,Introduccion a la Programacion
doc_0014,Guia de ejercicios: Variables y tipos de datos,Introduccion a la Programacion
doc_0015,Taller: Buenas practicas de codigo (parte 3),Introduccion a la Programacion
doc_0016,Guia de ejercicios: Arreglos y matrices,Introduccion a la Programacion
doc_0017,Resumen: Funciones y modularidad,Introduccion a la Programacion
doc_0018,Practica resuelta: Estructuras condicionales,Introduccion a la Programacion
doc_0019,Practica resuelta: Entrada y salida estandar,Introduccion a la Programacion
doc_0020,Resumen: Recursividad basica,Introduccion a la Programacion
doc_0021,Diapositivas: Cadenas de texto (parte 2),Introduccion a la Programacion
doc_0022,Examen resuelto: Buenas practicas de codigo,Introduccion a la Programacion
doc_0023,Practica resuelta: Pseudocodigo y diagramas de flujo,Introduccion a la Programacion
doc_0024,Practica resuelta: Entrada y salida estandar (parte 4),Introduccion a la Programacion
doc_0025,Resumen: Arreglos y matrices,Introduccion a la Programacion
doc_0026,Video clase: Cadenas de texto,Introduccion a la Programacion
doc_0027,Practica resuelta: Buenas practicas de codigo,Introduccion a la Programacion
doc_0028,Video clase: Variables y tipos de datos,Introduccion a la Programacion
doc_0029,Practica resuelta: Arreglos y matrices,Introduccion a la Programacion
doc_0030,Practica resuelta: Funciones y modularidad,Introduccion a la Programacion
doc_0031,Diapositivas: Entrada y salida estandar,Introduccion a la Programacion
doc_0032,Resumen: Depuracion de errores comunes,Introduccion a la Programacion
doc_0033,Resumen: Bucles for y while,Introduccion a la Programacion
doc_0034,Video clase: Recursividad basica,Introduccion a la Programacion
doc_0035,Diapositivas: Punteros basicos,Introduccion a la Programacion
doc_0036,Practica resuelta: Buenas practicas de codigo (parte 4),Introduccion a la Programacion
doc_0037,Guia de ejercicios: Punteros basicos,Introduccion a la Programacion
doc_0038,Video clase: Pseudocodigo y diagramas de flujo (parte 2),Introduccion a la Programacion
doc_0039,Taller: Depuracion de errores comunes,Introduccion a la Programacion
doc_0040,Video clase: Arreglos y matrices,Introduccion a la Programacion
doc_0041,Resumen: Punteros basicos,Introduccion a la Programacion
doc_0042,Video clase: Variables y tipos de datos (parte 2),Introduccion a la Programacion
doc_0043,Taller: Recursividad basica,Introduccion a la Programacion
doc_0044,Practica resuelta: Arreglos y matrices (parte 2),Introduccion a la Programacion
doc_0045,Resumen: Cadenas de texto,Introduccion a la Programacion
doc_0046,Examen resuelto: Funciones y modularidad (parte 3),Introduccion a la Programacion
doc_0047,Examen resuelto: Punteros basicos,Introduccion a la Programacion
doc_0048,Diapositivas: Bucles for y while,Introduccion a la Programacion
doc_0049,Video clase: Bucles for y while,Introduccion a la Programacion
doc_0050,Diapositivas: Buenas practicas de codigo,Introduccion a la Programacion
doc_0051,Taller: Buenas practicas de codigo (parte 4),Introduccion a la Programacion
doc_0052,Resumen: Entrada y salida estandar,Introduccion a la Programacion
doc_0053,Guia de ejercicios: Funciones y modularidad,Introduccion a la Programacion
doc_0054,Examen resuelto: Pseudocodigo y diagramas de flujo,Introduccion a la Programacion
doc_0055,Apunte: Estructuras condicionales,Introduccion a la Programacion
doc_0056,Guia de ejercicios: Estructuras condicionales,Introduccion a la Programacion
doc_0057,Guia de ejercicios: Punteros basicos (parte 4),Introduccion a la Programacion
doc_0058,Practica resuelta: Entrada y salida estandar (parte 3),Introduccion a la Programacion
doc_0059,Examen resuelto: Entrada y salida estandar,Introduccion a la Programacion
doc_0060,Diapositivas: Pseudocodigo y diagramas de flujo,Introduccion a la Programacion
doc_0061,Apunte: Pseudocodigo y diagramas de flujo,Introduccion a la Programacion
doc_0062,Diapositivas: Pseudocodigo y diagramas de flujo (parte 4),Introduccion a la Programacion
doc_0063,Practica resuelta: Recursividad basica,Introduccion a la Programacion
doc_0064,Taller: Arreglos y matrices,Introduccion a la Programacion
doc_0065,Examen resuelto: Bucles for y while,Introduccion a la Programacion
doc_0066,Diapositivas: Variables y tipos de datos (parte 4),Introduccion a la Programacion
doc_0067,Practica resuelta: Bucles for y while (parte 4),Introduccion a la Programacion
doc_0068,Video clase: Arreglos y matrices (parte 2),Introduccion a la Programacion
doc_0069,Guia de ejercicios: Recursividad basica,Introduccion a la Programacion
doc_0070,Apunte: Pseudocodigo y diagramas de flujo (parte 4),Introduccion a la Programacion
doc_0071,Examen resuelto: Recursividad basica,Introduccion a la Programacion
doc_0072,Practica resuelta: Variables y tipos de datos (parte 3),Introduccion a la Programacion
doc_0073,Practica resuelta: Funciones y modularidad (parte 2),Introduccion a la Programacion
doc_0074,Examen resuelto: Buenas practicas de codigo (parte 2),Introduccion a la Programacion
doc_0075,Guia de ejercicios: Pseudocodigo y diagramas de flujo,Introduccion a la Programacion
doc_0076,Examen resuelto: Bucles for y while (parte 4),Introduccion a la Programacion
doc_0077,Diapositivas: Bucles for y while (parte 4),Introduccion a la Programacion
doc_0078,Taller: Cadenas de texto,Introduccion a la Programacion
doc_0079,Taller: Arreglos y matrices (parte 4),Introduccion a la Programacion
doc_0080,Resumen: Punteros basicos (parte 3),Introduccion a la Programacion
doc_0081,Examen resuelto: Pseudocodigo y diagramas de flujo (parte 2),Introduccion a la Programacion
doc_0082,Video clase: Funciones y modularidad (parte 2),Introduccion a la Programacion
doc_0083,Apunte: Recursividad basica,Introduccion a la Programacion
doc_0084,Video clase: Cadenas de texto (parte 4),Introduccion a la Programacion
