alumno_id,libro
alumno_00001,Algebra
alumno_00001,Algebra Lineal
alumno_00001,Calculo I
alumno_00001,Introduccion a la Programacion
alumno_00001,Estructuras de Datos
alumno_00001,Programacion Orientada a Objetos
alumno_00001,Calculo III
alumno_00001,Probabilidad y Estadistica
alumno_00001,Calculo II
alumno_00001,Matematica Discreta
alumno_00001,Fisica I
alumno_00001,Bases de Datos I
alumno_00002,Algebra
alumno_00002,Algebra Lineal
alumno_00002,Calculo I
alumno_00002,Introduccion a la Programacion
alumno_00002,Programacion Orientada a Objetos
alumno_00003,Algebra
alumno_00003,Algebra Lineal
alumno_00003,Calculo I
alumno_00003,Introduccion a la Programacion
alumno_00003,Estructuras de Datos
alumno_00003,Programacion Orientada a Objetos
alumno_00003,Calculo III
alumno_00003,Probabilidad y Estadistica
alumno_00003,Calculo II
alumno_00003,Matematica Discreta
alumno_00004,Algebra
alumno_00004,Algebra Lineal
alumno_00004,Calculo I
alumno_00004,Introduccion a la Programacion
alumno_00004,Programacion Orientada a Objetos
alumno_00004,Calculo II
alumno_00004,Matematica Discreta
alumno_00005,Algebra
alumno_00005,Algebra Lineal
alumno_00005,Calculo I
alumno_00005,Introduccion a la Programacion
alumno_00005,Estructuras de Datos
alumno_00005,Programacion Orientada a Objetos
alumno_00005,Calculo II
alumno_00005,Fisica I
alumno_00006,Calculo I
alumno_00006,Introduccion a la Programacion
alumno_00006,Probabilidad y Estadistica
alumno_00006,Programacion Orientada a Objetos
alumno_00006,Calculo II
alumno_00006,Fisica I
alumno_00007,Algebra
alumno_00007,Calculo I
alumno_00007,Introduccion a la Programacion
alumno_00007,Probabilidad y Estadistica
alumno_00007,Programacion Orientada a Objetos
alumno_00007,Calculo III
alumno_00007,Calculo II
alumno_00007,Matematica Discreta
alumno_00007,Fisica I
alumno_00008,Calculo I
alumno_00008,Introduccion a la Programacion
alumno_00008,Probabilidad y Estadistica
alumno_00008,Calculo III
alumno_00008,Calculo II
alumno_00008,Fisica I
alumno_00009,Algebra
alumno_00009,Algebra Lineal
alumno_00009,Calculo I
alumno_00009,Introduccion a la Programacion
alumno_00009,Probabilidad y Estadistica
alumno_00009,Calculo III
alumno_00009,Calculo II
alumno_00009,Fisica I
alumno_00010,Algebra
alumno_00010,Algebra Lineal
alumno_00010,Calculo I
alumno_00010,Introduccion a la Programacion
alumno_00010,Estructuras de Datos
alumno_00010,Programacion Orientada a Objetos
alumno_00010,Calculo III
alumno_00010,Probabilidad y Estadistica
alumno_00010,Calculo II
alumno_00010,Matematica Discreta
alumno_00010,Fisica I
alumno_00010,Bases de Datos I
alumno_00011,Algebra
alumno_00011,Calculo I
alumno_00011,Introduccion a la Programacion
alumno_00011,Estructuras de Datos
alumno_00011,Programacion Orientada a Objetos
alumno_00011,Calculo III
alumno_00011,Probabilidad y Estadistica
alumno_00011,Calculo II
alumno_00011,Matematica Discreta
alumno_00011,Fisica I
alumno_00011,Bases de Datos I
alumno_00012,Algebra
alumno_00012,Algebra Lineal
alumno_00012,Calculo I
alumno_00012,Estructuras de Datos
alumno_00012,Calculo III
alumno_00012,Calculo II
alumno_00012,Fisica I
alumno_00013,Algebra
alumno_00013,Algebra Lineal
alumno_00013,Calculo I
alumno_00013,Introduccion a la Programacion
alumno_00013,Programacion Orientada a Objetos
alumno_00013,Matematica Discreta
alumno_00014,Calculo I
alumno_00014,Introduccion a la Programacion
alumno_00014,Estructuras de Datos
alumno_00014,Programacion Orientada a Objetos
alumno_00014,Probabilidad y Estadistica
alumno_00014,Matematica Discreta
alumno_00014,Bases de Datos I
alumno_00015,Introduccion a la Programacion
alumno_00015,Fisica I
alumno_00015,Matematica Discreta
alumno_00015,Calculo I
alumno_00016,Algebra
alumno_00016,Algebra Lineal
alumno_00016,Calculo I
alumno_00017,Calculo I
alumno_00017,Introduccion a la Programacion
alumno_00017,Estructuras de Datos
alumno_00017,Programacion Orientada a Objetos
alumno_00017,Calculo III
alumno_00017,Calculo II
alumno_00017,Matematica Discreta
alumno_00017,Fisica I
alumno_00018,Algebra
alumno_00018,Algebra Lineal
alumno_00018,Introduccion a la Programacion
alumno_00018,Estructuras de Datos
alumno_00018,Programacion Orientada a Objetos
alumno_00018,Fisica I
alumno_00019,Algebra
alumno_00019,Algebra Lineal
alumno_00019,Calculo I
alumno_00019,Introduccion a la Programacion
alumno_00019,Probabilidad y Estadistica
alumno_00019,Programacion Orientada a Objetos
alumno_00019,Calculo III
alumno_00019,Calculo II
alumno_00019,Matematica Discreta
alumno_00019,Fisica I
alumno_00020,Calculo I
alumno_00020,Estructuras de Datos
alumno_00020,Probabilidad y Estadistica
alumno_00020,Programacion Orientada a Objetos
alumno_00020,Calculo III
alumno_00020,Calculo II
alumno_00020,Fisica I
alumno_00021,Algebra
alumno_00021,Calculo I
alumno_00021,Introduccion a la Programacion
alumno_00021,Estructuras de Datos
alumno_00021,Programacion Orientada a Objetos
alumno_00021,Calculo III
alumno_00021,Calculo II
alumno_00021,Fisica I
alumno_00022,Algebra
alumno_00022,Algebra Lineal
alumno_00022,Introduccion a la Programacion
alumno_00022,Estructuras de Datos
alumno_00022,Programacion Orientada a Objetos
alumno_00022,Matematica Discreta
alumno_00023,Algebra
alumno_00023,Algebra Lineal
alumno_00023,Calculo I
alumno_00024,Algebra
alumno_00024,Calculo I
alumno_00024,Introduccion a la Programacion
alumno_00024,Calculo II
alumno_00024,Matematica Discreta
alumno_00025,Algebra
alumno_00025,Algebra Lineal
alumno_00025,Calculo I
alumno_00025,Introduccion a la Programacion
alumno_00025,Estructuras de Datos
alumno_00025,Programacion Orientada a Objetos
alumno_00025,Calculo III
alumno_00025,Probabilidad y Estadistica
alumno_00025,Calculo II
alumno_00025,Matematica Discreta
alumno_00025,Fisica I
alumno_00025,Bases de Datos I
alumno_00026,Calculo I
alumno_00026,Introduccion a la Programacion
alumno_00026,Estructuras de Datos
alumno_00026,Programacion Orientada a Objetos
alumno_00026,Matematica Discreta
alumno_00026,Bases de Datos I
alumno_00027,Algebra
