alumno_id,libro
alumno_00001,Fisica I
alumno_00001,Calculo I
alumno_00002,Calculo II
alumno_00002,Calculo I
alumno_00002,Algebra Lineal
alumno_00002,Matematica Discreta
alumno_00002,Algebra
alumno_00002,Calculo III
alumno_00003,Programacion Orientada a Objetos
alumno_00003,Estructuras de Datos
alumno_00003,Matematica Discreta
alumno_00003,Introduccion a la Programacion
alumno_00003,Algebra
alumno_00003,Bases de Datos I
alumno_00004,Matematica Discreta
alumno_00004,Probabilidad y Estadistica
alumno_00004,Calculo I
alumno_00004,Algebra Lineal
alumno_00004,Fisica I
alumno_00004,Calculo II
alumno_00004,Introduccion a la Programacion
alumno_00004,Calculo III
alumno_00004,Algebra
alumno_00005,Matematica Discreta
alumno_00005,Programacion Orientada a Objetos
alumno_00005,Probabilidad y Estadistica
alumno_00005,Calculo I
alumno_00005,Fisica I
alumno_00005,Calculo II
alumno_00005,Introduccion a la Programacion
alumno_00005,Calculo III
alumno_00005,Algebra
alumno_00006,Programacion Orientada a Objetos
alumno_00006,Probabilidad y Estadistica
alumno_00006,Calculo I
alumno_00006,Algebra Lineal
alumno_00006,Fisica I
alumno_00006,Calculo II
alumno_00006,Introduccion a la Programacion
alumno_00006,Calculo III
alumno_00006,Algebra
alumno_00007,Programacion Orientada a Objetos
alumno_00007,Calculo I
alumno_00007,Algebra Lineal
alumno_00007,Estructuras de Datos
alumno_00007,Fisica I
alumno_00007,Matematica Discreta
alumno_00007,Introduccion a la Programacion
alumno_00007,Algebra
alumno_00008,Programacion Orientada a Objetos
alumno_00008,Calculo I
alumno_00008,Algebra Lineal
alumno_00008,Estructuras de Datos
alumno_00008,Calculo II
alumno_00008,Introduccion a la Programacion
alumno_00008,Algebra
alumno_00009,Matematica Discreta
alumno_00009,Programacion Orientada a Objetos
alumno_00009,Probabilidad y Estadistica
alumno_00009,Calculo I
alumno_00009,Algebra Lineal
alumno_00009,Calculo II
alumno_00009,Introduccion a la Programacion
alumno_00009,Calculo III
alumno_00009,Algebra
alumno_00010,Programacion Orientada a Objetos
alumno_00010,Calculo I
alumno_00010,Estructuras de Datos
alumno_00010,Fisica I
alumno_00010,Introduccion a la Programacion
alumno_00010,Algebra
alumno_00010,Bases de Datos I
alumno_00011,Programacion Orientada a Objetos
alumno_00011,Calculo I
alumno_00011,Matematica Discreta
alumno_00011,Introduccion a la Programacion
alumno_00011,Algebra
alumno_00012,Programacion Orientada a Objetos
alumno_00012,Algebra Lineal
alumno_00012,Estructuras de Datos
alumno_00012,Fisica I
alumno_00012,Matematica Discreta
alumno_00012,Introduccion a la Programacion
alumno_00012,Algebra
alumno_00012,Bases de Datos I
alumno_00013,Algebra
alumno_00013,Calculo I
alumno_00013,Algebra Lineal
alumno_00013,Calculo II
alumno_00014,Programacion Orientada a Objetos
alumno_00014,Calculo I
alumno_00014,Algebra Lineal
alumno_00014,Fisica I
alumno_00014,Introduccion a la Programacion
