transaction_id,item_id
session_00001,doc_0373
session_00001,doc_0334
session_00001,doc_0331
session_00001,doc_0353
session_00001,doc_0658
session_00001,doc_0673
session_00002,doc_0118
session_00002,doc_0152
session_00002,doc_0148
session_00002,doc_0406
session_00003,doc_0187
session_00003,doc_0400
session_00004,doc_0736
session_00005,doc_0619
session_00005,doc_0621
session_00005,doc_0617
session_00005,doc_0774
session_00005,doc_0739
session_00006,doc_0302
session_00006,doc_0334
session_00007,doc_0142
session_00007,doc_0152
session_00007,doc_0276
session_00008,doc_0412
session_00008,doc_0441
session_00009,doc_0192
session_00010,doc_0287
session_00010,doc_0316
session_00010,doc_0321
session_00010,doc_0681
session_00011,doc_0441
session_00011,doc_0476
session_00012,doc_0732
session_00012,doc_0774
session_00012,doc_0798
session_00012,doc_0736
session_00012,doc_0812
session_00012,doc_0858
session_00013,doc_0501
session_00013,doc_0565
session_00013,doc_0508
session_00013,doc_0424
session_00014,doc_0156
session_00014,doc_0152
session_00014,doc_0291
session_00014,doc_0322
session_00015,doc_0362
session_00015,doc_0352
session_00015,doc_0148
session_00015,doc_0146
session_00016,doc_0663
session_00016,doc_0701
session_00017,doc_0401
session_00017,doc_0914
session_00018,doc_0156
session_00018,doc_0148
session_00018,doc_0120
session_00018,doc_0173
session_00018,doc_0308
session_00019,doc_0565
session_00019,doc_0502
session_00019,doc_0518
session_00019,doc_0517
session_00020,doc_0679
session_00021,doc_0754
session_00021,doc_0783
session_00021,doc_0732
session_00021,doc_0730
session_00022,doc_0331
session_00022,doc_0333
session_00022,doc_0914
session_00022,doc_0905
session_00023,doc_0666
session_00023,doc_0617
session_00024,doc_0152
session_00024,doc_0148
session_00024,doc_0184
session_00024,doc_0121
session_00024,doc_0164
session_00025,doc_0412
session_00025,doc_0476
session_00025,doc_0466
session_00026,doc_0689
session_00026,doc_0658
session_00026,doc_0679
session_00026,doc_0683
session_00026,doc_0361
session_00027,doc_0703
session_00027,doc_0673
session_00027,doc_0656
session_00027,doc_0710
session_00027,doc_0569
session_00028,doc_0179
session_00028,doc_0152
session_00028,doc_0148
session_00028,doc_0112
session_00028,doc_0342
session_00029,doc_0754
session_00030,doc_0401
session_00030,doc_0346
session_00031,doc_0362
session_00031,doc_0333
session_00031,doc_0904
session_00032,doc_0148
session_00033,doc_0349
session_00033,doc_0373
session_00033,doc_0328
session_00033,doc_0469
session_00033,doc_0427
session_00034,doc_0902
session_00035,doc_0043
session_00035,doc_0050
session_00035,doc_0011
session_00035,doc_0068
session_00035,doc_0031
session_00035,doc_0584
session_00036,doc_0200
session_00037,doc_0412
session_00037,doc_0471
session_00038,doc_0453
session_00038,doc_0446
session_00039,doc_0504
session_00040,doc_0844
session_00040,doc_0840
session_00040,doc_0852
session_00040,doc_0754
session_00040,doc_0719
session_00041,doc_0156
session_00041,doc_0110
session_00041,doc_0615
session_00042,doc_0198
session_00042,doc_0206
session_00042,doc_0472
session_00043,doc_0131
session_00043,doc_0119
session_00043,doc_0889
session_00044,doc_0697
session_00044,doc_0673
session_00044,doc_0689
session_00044,doc_0331
session_00045,doc_0267
session_00045,doc_0273
session_00045,doc_0281
session_00045,doc_0269
session_00046,doc_0148
session_00046,doc_0181
session_00046,doc_0392
session_00047,doc_0291
session_00048,doc_0554
session_00049,doc_0362
session_00049,doc_0339
session_00050,doc_0884
session_00050,doc_0919
session_00050,doc_0905
session_00051,doc_0848
session_00051,doc_0807
session_00051,doc_0840
session_00051,doc_0152
session_00052,doc_0611
session_00053,doc_0756
session_00053,doc_0736
session_00053,doc_0752
session_00053,doc_0716
session_00053,doc_0795
session_00053,doc_0501
session_00054,doc_0542
session_00055,doc_0615
session_00055,doc_0595
session_00055,doc_0611
session_00055,doc_0793
session_00056,doc_0852
session_00056,doc_0853
session_00056,doc_0736
session_00057,doc_0845
session_00057,doc_0756
session_00058,doc_0068
session_00059,doc_0031
session_00059,doc_0032
session_00059,doc_0043
session_00060,doc_0678
session_00061,doc_0477
session_00061,doc_0469
session_00061,doc_0215
session_00062,doc_0050
session_00063,doc_0051
session_00063,doc_0031
session_00064,doc_0727
session_00065,doc_0689
session_00065,doc_0673
session_00066,doc_0244
session_00066,doc_0238
session_00066,doc_0222
session_00066,doc_0235
session_00067,doc_0401
session_00068,doc_0148
session_00068,doc_0123
session_00068,doc_0152
session_00068,doc_0322
session_00068,doc_0317
session_00069,doc_0769
session_00069,doc_0784
session_00069,doc_0837
session_00070,doc_0485
session_00071,doc_0914
session_00072,doc_0852
session_00073,doc_0857
session_00074,doc_0322
session_00074,doc_0297
session_00074,doc_0315
session_00074,doc_0285
session_00075,doc_0031
session_00075,doc_0019
session_00075,doc_0118
session_00076,doc_0689
session_00076,doc_0654
session_00077,doc_0322
session_00077,doc_0291
session_00078,doc_0551
session_00078,doc_0514
session_00078,doc_0492
session_00078,doc_0577
session_00079,doc_0046
session_00079,doc_0091
session_00079,doc_0634
session_00079,doc_0649
session_00080,doc_0360
session_00080,doc_0364
session_00080,doc_0683
session_00081,doc_0858
session_00081,doc_0848
session_00081,doc_0835
session_00081,doc_0817
session_00081,doc_0844
session_00081,doc_0843
session_00082,doc_0269
session_00083,doc_0040
session_00083,doc_0032
session_00083,doc_0063
session_00083,doc_0031
session_00083,doc_0093
session_00083,doc_0172
session_00084,doc_0082
session_00084,doc_0092
session_00085,doc_0424
session_00085,doc_0486
session_00085,doc_0434
session_00086,doc_0914
session_00086,doc_0905
session_00086,doc_0889
session_00087,doc_0123
session_00088,doc_0725
session_00088,doc_0802
session_00089,doc_0872
session_00089,doc_0825
session_00089,doc_0845
session_00089,doc_0774
session_00089,doc_0769
session_00090,doc_0127
session_00090,doc_0152
session_00090,doc_0156
session_00090,doc_0118
session_00091,doc_0818
session_00092,doc_0870
session_00092,doc_0863
session_00092,doc_0853
session_00092,doc_0468
session_00092,doc_0415
session_00093,doc_0337
session_00093,doc_0689
session_00094,doc_0433
session_00095,doc_0641
session_00096,doc_0469
session_00096,doc_0246
session_00097,doc_0372
session_00097,doc_0337
session_00097,doc_0580
session_00098,doc_0785
session_00098,doc_0787
session_00098,doc_0769
session_00099,doc_0766
session_00099,doc_0757
session_00099,doc_0631
session_00100,doc_0179
session_00100,doc_0111
session_00100,doc_0917
session_00100,doc_0884
session_00101,doc_0277
session_00101,doc_0322
session_00101,doc_0475
session_00102,doc_0437
session_00103,doc_0555
session_00103,doc_0517
session_00103,doc_0540
session_00103,doc_0565
session_00103,doc_0419
session_00103,doc_0471
session_00104,doc_0518
session_00104,doc_0555
session_00104,doc_0586
session_00104,doc_0496
session_00104,doc_0565
session_00104,doc_0727
session_00105,doc_0272
session_00105,doc_0305
session_00105,doc_0031
session_00106,doc_0577
session_00107,doc_0914
session_00107,doc_0884
session_00107,doc_0878
session_00107,doc_0900
session_00107,doc_0904
session_00107,doc_0388
session_00108,doc_0617
session_00108,doc_0592
session_00109,doc_0331
session_00109,doc_0565
session_00110,doc_0656
session_00111,doc_0617
session_00111,doc_0644
session_00111,doc_0884
session_00112,doc_0360
session_00112,doc_0373
session_00112,doc_0359
session_00112,doc_0893
session_00112,doc_0934
session_00113,doc_0333
session_00113,doc_0331
session_00113,doc_0381
session_00113,doc_0902
session_00114,doc_0871
session_00114,doc_0738
session_00115,doc_0859
session_00115,doc_0869
session_00115,doc_0774
session_00116,doc_0493
session_00117,doc_0862
session_00117,doc_0852
session_00117,doc_0732
session_00118,doc_0148
session_00118,doc_0125
session_00118,doc_0528
session_00119,doc_0031
session_00119,doc_0068
session_00119,doc_0518
session_00120,doc_0412
session_00121,doc_0373
session_00121,doc_0339
session_00122,doc_0692
session_00122,doc_0653
session_00122,doc_0673
session_00122,doc_0656
session_00123,doc_0207
session_00123,doc_0235
session_00123,doc_0243
session_00123,doc_0469
session_00123,doc_0412
session_00123,doc_0439
session_00124,doc_0441
session_00125,doc_0034
session_00126,doc_0160
session_00126,doc_0176
session_00127,doc_0119
session_00128,doc_0596
session_00128,doc_0644
session_00128,doc_0202
session_00129,doc_0577
session_00129,doc_0564
